"OTU","90543_ID2592_1-A-HOBBS-A001-A03_S91_L001_R1_001","90544_ID2592_2-B-HOBBS-A001-B03_S92_L001_R1_001","90545_ID2592_3-C-HOBBS-A001-C03_S93_L001_R1_001","90546_ID2592_4-D-HOBBS-A001-D03_S94_L001_R1_001","90547_ID2592_5-A-RROSE-A001-E03_S95_L001_R1_001","90548_ID2592_6-C-RROSE-1-A001-F03_S96_L001_R1_001","90549_ID2592_7-C-RROSE-2-A001-G03_S97_L001_R1_001","90550_ID2592_8-D-RROSE-A001-H03_S98_L001_R1_001","90551_ID2592_9-A-DENVER-A001-A04_S99_L001_R1_001","90552_ID2592_10-B-DENVER-A001-B04_S100_L001_R1_001","90553_ID2592_11-C-DENVER-A001-C04_S101_L001_R1_001","90554_ID2592_12-D-DENVER-A001-D04_S102_L001_R1_001","90555_ID2592_13-A-KSW2-A001-E04_S103_L001_R1_001","90556_ID2592_14-B-KSW2-A001-F04_S104_L001_R1_001","90557_ID2592_15-C-KSW2-A001-G04_S105_L001_R1_001","90558_ID2592_16-D-KSW2-A001-H04_S106_L001_R1_001","90559_ID2600_1-SB1-A001-A03_S219_L004_R1_001","90560_ID2600_2-SB2-A001-B03_S220_L004_R1_001","90561_ID2600_3-SB3-A001-C03_S221_L004_R1_001","90562_ID2600_4-SB4-A001-D03_S222_L004_R1_001","90563_ID2600_5-SB5-A001-E03_S223_L004_R1_001","90564_ID2600_6-SB6-A001-F03_S224_L004_R1_001","Taxonomic lineage"
"Absidia","0","0","0","0","0","0","0","0","0.0001","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","Eukaryota;Mucoromycota;Mucoromycetes;Mucorales;Cunninghamellaceae;Absidia"
"Acanthamoeba","0.00047","0.00429","0.00152","0.00505","0.00113","0.00073","0.00242","0.00134","0.0031","0.00065","0.00143","0.00194","0.00259","0.00054","0.00044","0.0011","0.00061","0.00184","0.00719","0.0084","0.00482","0.00447","Eukaryota;unkn. Eukaryota(d);unkn. Eukaryota(d);Longamoebia;Acanthamoebidae;Acanthamoeba"
"Acanthaster","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00015","0","0","Eukaryota;Echinodermata;Asteroidea;Valvatida;Acanthasteridae;Acanthaster"
"Acanthisitta","0","0","0","0","0","6.0E-5","0","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","Eukaryota;Chordata;Aves;Passeriformes;Acanthisittidae;Acanthisitta"
"Acanthus","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Eukaryota;Streptophyta;unkn. Streptophyta(p);Lamiales;Acanthaceae;Acanthus"
"Acaromyces","0","0","0","0","0.00015","0.00023","0","0.00011","0","0","0","0","0","0","0","0","0.00035","0","7.0E-5","8.0E-5","4.0E-5","0","Eukaryota;Basidiomycota;Exobasidiomycetes;Exobasidiales;Cryptobasidiaceae;Acaromyces"
"Acaryochloris","0.00016","0","0","0","8.0E-5","6.0E-5","0","0","0","0","8.0E-5","0","0","0","0","0","0","0","0","0","4.0E-5","6.0E-5","Bacteria;Cyanobacteria;unkn. Cyanobacteria(p);Synechococcales;Acaryochloridaceae;Acaryochloris"
"Acaulon","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0E-5","0","0","0","Eukaryota;Streptophyta;Bryopsida;Pottiales;Pottiaceae;Acaulon"
"Acephala","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0E-5","0","0","0","Eukaryota;Ascomycota;Leotiomycetes;Helotiales;unkn. Helotiales(o);Acephala"
"Acer","0.00047","0.00047","0.00032","0.00049","0","0","0","0.00011","0","0.00028","8.0E-5","0.00024","7.0E-5","0.00023","0.00015","0","0","0","0","0","0","0","Eukaryota;Streptophyta;unkn. Streptophyta(p);Sapindales;Sapindaceae;Acer"
"Acervus","0","0","0","0","0","0","0","0","0","0","0","0","7.0E-5","0","0","0","0","0","0","0","0","0","Eukaryota;Ascomycota;Pezizomycetes;Pezizales;Pyronemataceae;Acervus"
"Acetabularia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0E-5","0","0.00025","3.0E-5","Eukaryota;Chlorophyta;Ulvophyceae;Dasycladales;Polyphysaceae;Acetabularia"
"Acetobacter","0.00016","0.0002","0.00056","0.00024","0.0003","0.0004","0.00024","0.00022","0.00019","0.00019","0.0003","0.00024","0.00056","0.00023","0.00044","0.00017","0.00061","0.00061","0.00042","0.00053","0.00038","0.00028","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter"
"Achaetomium","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","0","Eukaryota;Ascomycota;Sordariomycetes;Sordariales;Chaetomiaceae;Achaetomium"
"Achatinella","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","0","Eukaryota;Mollusca;Gastropoda;Stylommatophora;Achatinellidae;Achatinella"
"Achillea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.0E-5","0","0","0","0","0","Eukaryota;Streptophyta;unkn. Streptophyta(p);Asterales;Asteraceae;Achillea"
"Achromobacter","0.0847","0.01362","0.01823","0.01839","0.042","0.00937","0.09068","0.01306","0.0285","0.01503","0.0305","0.02824","0.01161","0.00915","0.00907","0.01289","0.0145","0.07178","0.02094","0.11184","0.0465","0.05018","Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter"
"Acidaminococcus","0.00016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Acidaminococcus"
"Acidea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00035","0","0","0","0","0","Eukaryota;Ascomycota;Leotiomycetes;unkn. Leotiomycetes(c);unkn. Leotiomycetes(c);Acidea"
"Acidiferrobacter","0.00031","0.00013","0.00032","0","8.0E-5","0.00011","8.0E-5","0.00033","0.00019","9.0E-5","0.00015","0.00016","0","0.00015","0.00015","0.00025","9.0E-5","0","0","0","4.0E-5","3.0E-5","Bacteria;Proteobacteria;Gammaproteobacteria;Acidiferrobacterales;Acidiferrobacteraceae;Acidiferrobacter"
"Acidihalobacter","0.00171","0.00134","0.0012","0.00285","0.0021","0.0013","0.00073","0.00134","0.00136","0.00223","0.00174","0.00113","0.00105","0.00115","0.00102","0.00093","9.0E-5","0.00102","0.00014","0.00137","0.00088","0.00102","Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Acidihalobacter"
"Acidimicrobium","0.00124","0.0004","0.00048","0.00033","0.00128","0.0013","0.00145","0.00078","0.00068","0.00056","0.00113","0.00169","0.00056","0.00077","0.00051","0.00229","0.00087","0.00205","0.00085","0.00137","0.00113","0.0017","Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidimicrobium"
"Acidiphilium","0.00202","0.00262","0.004","0.0026","0.00435","0.00322","0.00194","0.00246","0.00204","0.00204","0.00317","0.00339","0.00448","0.00223","0.00181","0.00407","0.0033","0.0047","0.00564","0.00389","0.00293","0.00362","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium"
"Acidipropionibacterium","0.00109","0.00027","0.00072","0.00033","0.00105","0.00068","0.00145","0.00156","0.00116","0.00056","0.00143","0.00097","0.00105","0.00092","0.00051","0.00085","0.00122","0.00041","0.00127","0.0016","0.00067","0.0013","Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Acidipropionibacterium"
"Acidisphaera","0.00047","0.00121","0.00064","0.00041","0.00105","0.00113","0.00153","0.00056","0.00058","0.00102","0.00106","0.00161","0.00091","0.00031","0.00051","0.00076","0.00087","0.00123","0.00169","0.00191","0.00138","0.0013","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidisphaera"
"Aciditerrimonas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0E-5","0","0","0","0","0","0","0","Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Aciditerrimonas"
"Acidithiobacillus","0.00047","0.00067","0","0.00033","0.00038","0.00051","0.00065","0.00022","0.00058","0.00046","0.00159","0.00081","0.00042","0.00015","0.00022","0.00042","0.00035","0","0.00071","0.00031","0.00017","0.00028","Bacteria;Proteobacteria;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus"
"Acidithiomicrobium","0","0","8.0E-5","0","0.00015","6.0E-5","0","0.00011","0.0001","0","8.0E-5","0.00016","0.00014","0","7.0E-5","0.00025","0","0.0002","0.00021","0.00023","4.0E-5","0.00051","Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidithiomicrobium"
"Acidobacterium","0","0.0004","0.0008","0.00049","0.00075","0.00073","0.00032","0.00033","0.0001","0","0.00075","0.00065","0","0.00046","0.00044","0.00127","0.00174","0.00102","0.00021","0.00145","0.0008","0.00073","Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacterium"
"Acidocella","0","0.0004","8.0E-5","0.00024","0.00045","0.00056","0.0004","0.00067","0.00039","0.00037","0.0006","0.0004","0.00063","0.00046","0","0.00059","0.00104","0.00061","0.00085","0.00038","0.00029","0.00051","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidocella"
"Acidomonas","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.0E-5","0","0","0","0","0","0","Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidomonas"
"Acidothermus","0.00031","0.00013","8.0E-5","0.00016","0.00075","0.00062","0.00016","0.00045","0","0.00019","0.00053","0.0004","0.00014","0.00031","0.00022","0.00076","0.00017","0.0002","0","0.00084","0.00046","0.00048","Bacteria;Actinobacteria;Actinobacteria;Acidothermales;Acidothermaceae;Acidothermus"
