"OTU","90543_ID2592_1-A-HOBBS-A001-A03_S91_L001_R1_001","90544_ID2592_2-B-HOBBS-A001-B03_S92_L001_R1_001","90545_ID2592_3-C-HOBBS-A001-C03_S93_L001_R1_001","90546_ID2592_4-D-HOBBS-A001-D03_S94_L001_R1_001","90547_ID2592_5-A-RROSE-A001-E03_S95_L001_R1_001","90548_ID2592_6-C-RROSE-1-A001-F03_S96_L001_R1_001","90549_ID2592_7-C-RROSE-2-A001-G03_S97_L001_R1_001","90550_ID2592_8-D-RROSE-A001-H03_S98_L001_R1_001","90551_ID2592_9-A-DENVER-A001-A04_S99_L001_R1_001","90552_ID2592_10-B-DENVER-A001-B04_S100_L001_R1_001","90553_ID2592_11-C-DENVER-A001-C04_S101_L001_R1_001","90554_ID2592_12-D-DENVER-A001-D04_S102_L001_R1_001","90555_ID2592_13-A-KSW2-A001-E04_S103_L001_R1_001","90556_ID2592_14-B-KSW2-A001-F04_S104_L001_R1_001","90557_ID2592_15-C-KSW2-A001-G04_S105_L001_R1_001","90558_ID2592_16-D-KSW2-A001-H04_S106_L001_R1_001","90559_ID2600_1-SB1-A001-A03_S219_L004_R1_001","90560_ID2600_2-SB2-A001-B03_S220_L004_R1_001","90561_ID2600_3-SB3-A001-C03_S221_L004_R1_001","90562_ID2600_4-SB4-A001-D03_S222_L004_R1_001","90563_ID2600_5-SB5-A001-E03_S223_L004_R1_001","90564_ID2600_6-SB6-A001-F03_S224_L004_R1_001","Taxonomic lineage"
"Acidobacteria","0.42009","0.40714","0.49274","0.43679","0.55623","0.53881","0.47693","0.45974","0.43835","0.53049","0.68339","0.6259","0.27481","0.43201","0.37332","0.53159","0.56211","0.65731","0.55826","0.95113","0.7946","0.86842","Bacteria;Acidobacteria"
"Actinobacteria","31.19467","30.7141","28.26543","20.38998","38.19693","37.10141","43.24753","41.86085","40.52728","34.28039","32.65578","34.85647","50.88627","46.14837","49.90013","48.9252","35.20694","32.02267","32.93486","32.47577","27.81648","43.80207","Bacteria;Actinobacteria"
"Annelida","0","7.0E-5","0.00024","8.0E-5","0.00285","0","0","0","0","0","0","0.00024","7.0E-5","0.00015","7.0E-5","0","0.00052","0.0002","7.0E-5","0.00031","0.00038","0.00023","Eukaryota;Annelida"
"Apicomplexa","0.02436","0.00691","0.01071","0.00928","0.00585","0.00378","0.00355","0.0058","0.00659","0.0064","0.00808","0.00565","0.00868","0.00915","0.0045","0.00331","0.01841","0.00266","0.01608","0.01519","0.01249","0.00557","Eukaryota;Apicomplexa"
"Aquificae","0.00031","7.0E-5","0.00024","0.00041","0.0006","0.0004","0.00032","0.00056","0.0001","0.00019","0.0003","0.00048","0","0.00015","0.00029","0.00042","0.00035","0.00061","0.00035","0.00015","0.00042","0.00037","Bacteria;Aquificae"
"Armatimonadetes","0.00341","0.00409","0.00744","0.00464","0.00585","0.00683","0.00524","0.00647","0.00427","0.00547","0.00513","0.00637","0.00525","0.00446","0.00413","0.00644","0.01025","0.01063","0.01178","0.01305","0.0101","0.00922","Bacteria;Armatimonadetes"
"Arthropoda","0.0543","0.03723","0.03502","0.03654","0.05648","0.04804","0.03356","0.04398","0.04653","0.0334","0.04318","0.04906","0.03344","0.0293","0.02423","0.03247","0.04438","0.04867","0.04562","0.04435","0.03752","0.03632","Eukaryota;Arthropoda"
"Ascomycota","0.0878","0.08835","0.08707","0.0717","0.11273","0.13741","0.20346","0.09923","0.42265","0.15116","0.14833","0.13822","0.51925","0.18343","0.14956","0.16352","0.56176","0.27446","0.36258","0.44667","0.51826","0.21051","Eukaryota;Ascomycota"
"Bacillariophyta","0.00016","7.0E-5","8.0E-5","8.0E-5","8.0E-5","0.00023","8.0E-5","0.00011","0.00039","0","0.00053","0.00024","7.0E-5","0.00015","0.00029","0.00025","0.00139","0.0002","0.00247","0.00168","0.00356","0.00082","Eukaryota;Bacillariophyta"
"Bacteroidetes","0.6458","0.33644","0.48107","0.57206","0.4582","0.29966","0.45483","0.33641","0.55109","0.4853","0.36136","0.30492","0.38724","0.35633","0.26256","0.29314","0.83448","0.50433","0.81126","1.07702","0.84768","0.52293","Bacteria;Bacteroidetes"
