"Samples","Observed","Chao1","Shannon","Simpson","Fisher"
"X90543_ID2592_1.A.HOBBS.A001.A03_S91_L001_R1_001","1823","2475.8973","4.4844","0.97117","229.58204"
"X90544_ID2592_2.B.HOBBS.A001.B03_S92_L001_R1_001","2052","2738.41463","4.23049","0.96471","234.2922"
"X90545_ID2592_3.C.HOBBS.A001.C03_S93_L001_R1_001","2032","2567.8502","4.40178","0.96741","237.07679"
"X90546_ID2592_4.D.HOBBS.A001.D03_S94_L001_R1_001","1964","2585.255","4.30954","0.96408","228.65197"
"X90547_ID2592_5.A.RROSE.A001.E03_S95_L001_R1_001","2002","2579.51429","4.42052","0.96581","231.17394"
"X90548_ID2592_6.C.RROSE.1.A001.F03_S96_L001_R1_001","2124","2829.62667","4.21382","0.95769","238.27866"
"X90549_ID2592_7.C.RROSE.2.A001.G03_S97_L001_R1_001","1870","2402.43961","4.38895","0.96381","216.06281"
"X90550_ID2592_8.D.RROSE.A001.H03_S98_L001_R1_001","1827","2430.78061","4.34086","0.96327","219.76849"
"X90551_ID2592_9.A.DENVER.A001.A04_S99_L001_R1_001","1941","2470.93392","4.51396","0.97193","230.94308"
"X90552_ID2592_10.B.DENVER.A001.B04_S100_L001_R1_001","1878","2411.18182","4.41247","0.96855","221.15819"
"X90553_ID2592_11.C.DENVER.A001.C04_S101_L001_R1_001","2089","2704.70293","4.27002","0.95801","242.77211"
"X90554_ID2592_12.D.DENVER.A001.D04_S102_L001_R1_001","2076","2739.6","4.37358","0.96173","243.19321"
"X90555_ID2592_13.A.KSW2.A001.E04_S103_L001_R1_001","2030","2621.84211","4.46719","0.96985","232.71592"
"X90556_ID2592_14.B.KSW2.A001.F04_S104_L001_R1_001","1952","2472.181","4.37739","0.96798","225.39537"
"X90557_ID2592_15.C.KSW2.A001.G04_S105_L001_R1_001","1881","2423.26415","4.28809","0.967","214.51973"
"X90558_ID2592_16.D.KSW2.A001.H04_S106_L001_R1_001","1906","2620.74057","4.38826","0.96068","222.21502"
"X90559_ID2600_1.SB1.A001.A03_S219_L004_R1_001","2322","2806.12782","4.54613","0.96685","278.8887"
"X90560_ID2600_2.SB2.A001.B03_S220_L004_R1_001","1532","1855.31977","4.48942","0.95878","195.8276"
"X90561_ID2600_3.SB3.A001.C03_S221_L004_R1_001","2136","2705.54185","4.51714","0.96244","246.74572"
"X90562_ID2600_4.SB4.A001.D03_S222_L004_R1_001","2161","2678.31707","4.59759","0.96483","252.63928"
"X90563_ID2600_5.SB5.A001.E03_S223_L004_R1_001","2577","3270.70567","4.4651","0.96329","285.34512"
"X90564_ID2600_6.SB6.A001.F03_S224_L004_R1_001","2559","3078.82206","4.18656","0.9465","269.90994"
