Samples	COUNTRY	SITE	Observed	Chao1	Shannon	Simpson	Fisher
X90543_ID2592_1.A.HOBBS.A001.A03_S91_L001_R1_001	EEUU	HOBBS	3925	5522.81573	5.15711	0.98057	556.26048
X90544_ID2592_2.B.HOBBS.A001.B03_S92_L001_R1_001	EEUU	HOBBS	4472	6215.81977	4.86597	0.97643	568.02263
X90545_ID2592_3.C.HOBBS.A001.C03_S93_L001_R1_001	EEUU	HOBBS	4466	6178.11402	4.96499	0.97443	582.02508
X90546_ID2592_4.D.HOBBS.A001.D03_S94_L001_R1_001	EEUU	HOBBS	4293	5845.54183	4.86375	0.97342	557.66386
X90547_ID2592_5.A.RROSE.A001.E03_S95_L001_R1_001	EEUU	RROSE	4484	6181.25427	4.93444	0.97171	579.18139
X90548_ID2592_6.C.RROSE.1.A001.F03_S96_L001_R1_001	EEUU	RROSE	4691	6580.83607	4.66388	0.96497	585.23731
X90549_ID2592_7.C.RROSE.2.A001.G03_S97_L001_R1_001	EEUU	RROSE	4238	6011.09426	4.87806	0.96941	548.7436
X90550_ID2592_8.D.RROSE.A001.H03_S98_L001_R1_001	EEUU	RROSE	3845	5523.62353	4.80331	0.96856	515.31787
X90551_ID2592_9.A.DENVER.A001.A04_S99_L001_R1_001	EEUU	DENVER	4345	5972.53992	5.10794	0.97812	580.64668
X90552_ID2592_10.B.DENVER.A001.B04_S100_L001_R1_001	EEUU	DENVER	4124	5727.42437	5.0086	0.97655	543.09196
X90553_ID2592_11.C.DENVER.A001.C04_S101_L001_R1_001	EEUU	DENVER	4528	6328.54475	4.78155	0.96663	586.27217
X90554_ID2592_12.D.DENVER.A001.D04_S102_L001_R1_001	EEUU	DENVER	4543	6449.99223	4.88701	0.96829	594.39929
X90555_ID2592_13.A.KSW2.A001.E04_S103_L001_R1_001	EEUU	KSW	4507	6160.00532	4.9516	0.97472	576.64388
X90556_ID2592_14.B.KSW2.A001.F04_S104_L001_R1_001	EEUU	KSW	4232	5837.01961	4.88105	0.97366	543.99378
X90557_ID2592_15.C.KSW2.A001.G04_S105_L001_R1_001	EEUU	KSW	4040	5444.81855	4.78428	0.97285	511.39952
X90558_ID2592_16.D.KSW2.A001.H04_S106_L001_R1_001	EEUU	KSW	4131	6200.09513	4.8171	0.96521	536.80314
X90559_ID2600_1.SB1.A001.A03_S219_L004_R1_001	SP	SP	4771	5916.38889	4.96309	0.9704	635.97516
X90560_ID2600_2.SB2.A001.B03_S220_L004_R1_001	SP	SP	3259	3997.24	4.90921	0.96302	468.87622
X90561_ID2600_3.SB3.A001.C03_S221_L004_R1_001	SP	SP	4619	5905.28182	4.88798	0.96558	593.79725
X90562_ID2600_4.SB4.A001.D03_S222_L004_R1_001	SP	SP	4689	5856.23986	5.05429	0.96862	611.31753
X90563_ID2600_5.SB5.A001.E03_S223_L004_R1_001	SP	SP	5535	7017.59724	4.92326	0.96875	677.79481
X90564_ID2600_6.SB6.A001.F03_S224_L004_R1_001	SP	SP	6077	7441.809	4.94738	0.97034	714.27892
