OTU	90543_ID2592_1-A-HOBBS-A001-A03_S91_L001_R1_001	90544_ID2592_2-B-HOBBS-A001-B03_S92_L001_R1_001	90545_ID2592_3-C-HOBBS-A001-C03_S93_L001_R1_001	90546_ID2592_4-D-HOBBS-A001-D03_S94_L001_R1_001	90547_ID2592_5-A-RROSE-A001-E03_S95_L001_R1_001	90548_ID2592_6-C-RROSE-1-A001-F03_S96_L001_R1_001	90549_ID2592_7-C-RROSE-2-A001-G03_S97_L001_R1_001	90550_ID2592_8-D-RROSE-A001-H03_S98_L001_R1_001	90551_ID2592_9-A-DENVER-A001-A04_S99_L001_R1_001	90552_ID2592_10-B-DENVER-A001-B04_S100_L001_R1_001	90553_ID2592_11-C-DENVER-A001-C04_S101_L001_R1_001	90554_ID2592_12-D-DENVER-A001-D04_S102_L001_R1_001	90555_ID2592_13-A-KSW2-A001-E04_S103_L001_R1_001	90556_ID2592_14-B-KSW2-A001-F04_S104_L001_R1_001	90557_ID2592_15-C-KSW2-A001-G04_S105_L001_R1_001	90558_ID2592_16-D-KSW2-A001-H04_S106_L001_R1_001	90559_ID2600_1-SB1-A001-A03_S219_L004_R1_001	90560_ID2600_2-SB2-A001-B03_S220_L004_R1_001	90561_ID2600_3-SB3-A001-C03_S221_L004_R1_001	90562_ID2600_4-SB4-A001-D03_S222_L004_R1_001	90563_ID2600_5-SB5-A001-E03_S223_L004_R1_001	90564_ID2600_6-SB6-A001-F03_S224_L004_R1_001
Archaea;Candidatus Bathyarchaeota;unkn. Candidatus Bathyarchaeota(p);unkn. Candidatus Bathyarchaeota(p);unkn. Candidatus Bathyarchaeota(p);unkn. Candidatus Bathyarchaeota(p);uncultured miscellaneous Crenarchaeota group	0	0	0	0	0	0	0	0	0	0	0	0	7e-05	0	0	0	0	0	0	0	0	0
Archaea;Candidatus Bathyarchaeota;unkn. Candidatus Bathyarchaeota(p);unkn. Candidatus Bathyarchaeota(p);unkn. Candidatus Bathyarchaeota(p);unkn. Candidatus Bathyarchaeota(p);unkn. Candidatus Bathyarchaeota(p)	0	0.00013	0	0.00016	0.00015	0	8e-05	0	0	9e-05	0.00015	0.00024	0.00014	0	7e-05	0	0.00026	0	0	0.00015	0	0
Archaea;Candidatus Bathyarchaeota;unkn. Candidatus Bathyarchaeota(p);unkn. Candidatus Bathyarchaeota(p);unkn. Candidatus Bathyarchaeota(p);unkn. Candidatus Bathyarchaeota(p);unkn. unkn. Candidatus Bathyarchaeota(p)(g)	0	0	8e-05	0	0	0	0	0	0	0	0	0	0	0	0	8e-05	0	0	0	0	0	3e-05
Archaea;Candidatus Bathyarchaeota;unkn. Candidatus Bathyarchaeota(p);unkn. Candidatus Bathyarchaeota(p);unkn. Candidatus Bathyarchaeota(p);unkn. unkn. Candidatus Bathyarchaeota(p)(f);unkn. unkn. Candidatus Bathyarchaeota(p)(f)	0.00031	7e-05	8e-05	8e-05	0.00015	0.00011	8e-05	0	0.00019	0	0	8e-05	0	8e-05	0	8e-05	0	2e-04	0	8e-05	4e-05	6e-05
Archaea;Candidatus Bathyarchaeota;unkn. Candidatus Bathyarchaeota(p);unkn. Candidatus Bathyarchaeota(p);unkn. unkn. Candidatus Bathyarchaeota(p)(o);unkn. unkn. Candidatus Bathyarchaeota(p)(o);unkn. unkn. Candidatus Bathyarchaeota(p)(o)	0	7e-05	0.00016	8e-05	0	6e-05	0	0	0	0	8e-05	8e-05	0.00014	0.00015	0	8e-05	0.00026	0	0	0	0	0
Archaea;Candidatus Bathyarchaeota;unkn. Candidatus Bathyarchaeota(p);unkn. unkn. Candidatus Bathyarchaeota(p)(c);unkn. unkn. Candidatus Bathyarchaeota(p)(c);unkn. unkn. Candidatus Bathyarchaeota(p)(c);unkn. unkn. Candidatus Bathyarchaeota(p)(c)	0	7e-05	8e-05	0	0	6e-05	0	0	0	0	0	0.00016	0	0	7e-05	0	0	0	0	0.00046	0	6e-05
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Aeropyrum;unkn. Aeropyrum(g)	0	0	0	0	0	0	8e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;unkn. Desulfurococcaceae(f);unkn. Desulfurococcaceae(f)	0.00016	0	0	0	0	6e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e-05
Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;unkn. Desulfurococcales(o);unkn. Desulfurococcales(o);unkn. Desulfurococcales(o)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8e-05
Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;unkn. Sulfolobaceae(f);unkn. Sulfolobaceae(f)	0	0	0	0	0	0	0	0	0	0	0	8e-05	0	0	0	0	0	0	0	0	0	0
