logFC	minuslog10FDR	threshold
Archaea;Candidatus Bathyarchaeota;unkn. Candidatus Bathyarchaeota(p);unkn. Candidatus Bathyarchaeota(p);unkn. Candidatus Bathyarchaeota(p);unkn. unkn. Candidatus Bathyarchaeota(p)(f);unkn. unkn. Candidatus Bathyarchaeota(p)(f)	-0.431735954981781	0.0655361210228201	gray23
Archaea;Crenarchaeota;unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);uncultured crenarchaeote	0.510251508451754	0.309242431096458	gray23
Archaea;Crenarchaeota;unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);uncultured crenarchaeote 29d5	-0.617647000736193	0.165473231273282	gray23
Archaea;Crenarchaeota;unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);unkn. Crenarchaeota(p)	-0.0596761894695002	0.0123064517415351	gray23
Archaea;Crenarchaeota;unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);unkn. unkn. Crenarchaeota(p)(g)	-0.134952554765609	0.0471804252072397	gray23
Archaea;Crenarchaeota;unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);unkn. unkn. Crenarchaeota(p)(f);unkn. unkn. Crenarchaeota(p)(f)	-0.986931417399718	0.415781656693072	gray23
Archaea;Crenarchaeota;unkn. Crenarchaeota(p);unkn. Crenarchaeota(p);unkn. unkn. Crenarchaeota(p)(o);unkn. unkn. Crenarchaeota(p)(o);unkn. unkn. Crenarchaeota(p)(o)	-0.860982117238237	0.168927951921663	gray23
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Haloarculaceae;unkn. Haloarculaceae(f);unkn. Haloarculaceae(f)	1.29386710682747	0.249581390956862	gray23
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;unkn. Halobacteriaceae(f);unkn. Halobacteriaceae(f)	1.23402599987502	0.254708441621119	gray23
Archaea;Euryarchaeota;Halobacteria;Halobacteriales;unkn. Halobacteriales(o);unkn. Halobacteriales(o);unkn. Halobacteriales(o)	0.857322163769811	0.570694558199542	gray23
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Haloferacaceae;unkn. Haloferacaceae(f);unkn. Haloferacaceae(f)	0.506222995051917	0.1582832513848	gray23
Archaea;Euryarchaeota;Halobacteria;Haloferacales;Halorubraceae;unkn. Halorubraceae(f);unkn. Halorubraceae(f)	0.362235321352626	0.0761758326085682	gray23
Archaea;Euryarchaeota;Halobacteria;Haloferacales;unkn. Haloferacales(o);unkn. Haloferacales(o);unkn. Haloferacales(o)	1.01805840319678	1.01447360276112	gray23
